title,current_bid,bid_count,qty,condition,number_of_packages,location,closing,seller,url,search_keyword,base_resale_per_item,condition_multiplier,estimated_resale,expected_final_bid,bid_multiplier,estimated_shipping,buyer_premium,estimated_taxes,risk_buffer,total_cost,expected_profit,roi,confidence_score,risk_score,opportunity_score,hours_until_close
"Packages Merchandise Returns, Lost Mail, Undelivered Post",$100.00,1,40,New,1,New Jersey,Apr 21 9:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084817,unclaimed packages,20.0,0.85,680.0,145.0,1.45,135.0,15.95,12.88,81.6,390.43,289.57,0.7417,0.45,1.8,18.542,33.48
"Lost Mail, Undelivered Post, Wholesale Packages Mercha",$155.00,8,40,New,1,New Jersey,Today 1:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084240,unclaimed packages,20.0,0.85,680.0,186.0,1.2,135.0,20.46,16.52,81.6,439.58,240.42,0.5469,0.45,1.8,13.674,1.48
"Available Now - Lost Mail, Undelivered Post, Wholesale Packages Mercha",$100.00,0,40,Returns,1,New Jersey,Today 7:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084242,unclaimed packages,20.0,0.45,360.0,113.0,1.13,135.0,12.43,10.03,43.2,313.66,46.34,0.1477,0.23,2.37,1.434,7.48
"Packages Merchandise Returns, Lost Mail, Undelivered Post",$100.00,0,40,Returns,1,New Jersey,Today 8:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084243,unclaimed packages,20.0,0.45,360.0,125.0,1.25,135.0,13.75,11.1,43.2,328.05,31.95,0.0974,0.23,2.37,0.945,8.48
"Packages Merchandise Returns, Lost Mail, Undelivered Post",$100.00,0,40,Returns,1,New Jersey,Today 9:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084244,unclaimed packages,20.0,0.45,360.0,125.0,1.25,135.0,13.75,11.1,43.2,328.05,31.95,0.0974,0.23,2.37,0.945,9.48
"Available Now - Lost Mail, Undelivered Post, Wholesale Packages Mercha",$100.00,0,40,Returns,1,New Jersey,Apr 21 1:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084628,unclaimed packages,20.0,0.45,360.0,140.0,1.4,135.0,15.4,12.43,43.2,346.03,13.97,0.0404,0.23,2.37,0.392,25.48
"Available Now - Lost Mail, Undelivered Post, Wholesale Packages Mercha",$100.00,0,40,Returns,1,New Jersey,Apr 21 5:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084814,unclaimed packages,20.0,0.45,360.0,140.0,1.4,135.0,15.4,12.43,43.2,346.03,13.97,0.0404,0.23,2.37,0.392,29.48
"Available Now - Lost Mail, Undelivered Post, Wholesale Packages Mercha",$100.00,0,40,Returns,1,New Jersey,Apr 21 3:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084813,unclaimed packages,20.0,0.45,360.0,140.0,1.4,135.0,15.4,12.43,43.2,346.03,13.97,0.0404,0.23,2.37,0.392,27.48
"Packages Merchandise Returns, Lost Mail, Undelivered Post",$100.00,0,40,Returns,1,New Jersey,Apr 21 7:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084815,unclaimed packages,20.0,0.45,360.0,140.0,1.4,135.0,15.4,12.43,43.2,346.03,13.97,0.0404,0.23,2.37,0.392,31.48
"Wholesale Packages Merchandise Returns , Lost Mail , Undelivered Post",$140.00,6,40,Returns,1,New Jersey,Today 5:05PM,surplusandreturns,https://www.liquidation.com/auction/view?id=21084241,unclaimed packages,20.0,0.45,360.0,173.6,1.24,135.0,19.1,15.42,43.2,386.31,-26.31,-0.0681,0.23,2.37,-0.661,5.48
